"Queen City","Boorn","16",14
"Queens Park Melody","de Haan","15",19
"Quick March","Elgar","9",122
"Raketenflug","Tanzer","9",92
"Regimentskinder","Fucik","16",15
"Reigen seliger Geister","Gluck","4",165
"Revuemarsch","Reckling","16",16
"Rhythmus der Freude","Herborg","5",196
"Riesengebirglers Heimatlied","Hampel","15",11
"Rixdorfer","???","11",100
"Robin Hood Fantasie","Brockton","10b",149
"Rosen aus dem Süden","Strauss","6",216
"Rund um den Globus","Rinow","7a",267
"Russische Impressionen","Rinow","11",118
"Russisches Tagebuch","Hartvig","11",111
"Rusticanella","Cortopasso","7b",242
"Saarfürst-Intrada","???","4",166
"Salve Imperator","???","3",32
"San Lorenzo Marsch","Lilra","16",18
"Saragossa","Cricius","16",17
"Schiwago Melodie","Jarre","4c",167
"Schlagerparade","Egidius","11",102
"Schlagerparade Folge 7","Egidius","11",110
"Schlagerparade Folge 9","Egidius","11",110
"Schlagzeilen","Herborg","9",103
"Schlittschuhläufer","Waldteufel","6",217
"Schneidige Truppe","Lehnhardt","16",20
"Schön ist jeder Tag","Meisel","7b",243
"Schön Rothtraut","Reckling","5",197
"Schöne weite Welt","König","4",159
"Schönfeld-Marsch","???","9",113
"Schottische Rhapsodie","Husadel","4a",146
"Schutzmanns-Marsch","Linke","16",19
"Schwabenexpress","Majo","7b",254
"Schwäbische Bauernmusik","Regner","4a",149
"Schwarzbraun ist die Haselnuss","Gabriel","16",21
"Schwarze Augen","Nobisrath","10b",142
"Schwarzwaldpost","???","10",131
"Semiramis","Rossini","5",198
"Serenata Seriosa","Lotterer","4",159
"Siamesische Wachtparade","Linke","7b",246
"Simsalabim","König","5",209
"Sinfonia per un Addio","Reverberi","4",167
"Slavische Rhapsodie","Friedemann","4a",150
"Slavische Volksweisen","Fülling","10b",143
"Slavonicka Polka","Rundel","15",30
"Solisten Medley","Kolditz","10b",152
"Solistenparade","Löffler","10",127
"Soloparade für Blasorchester","Blank","10b",160
"Sones de Triumfo","Singerling","9",109
"Sons of the brave","Bidgood","9",116
"Sound for Frederic","Gustel","10b",156
"Sound Giganten","Schneider","15",15
"Sousa Favoriten","Tuschla","9",131
"Sousa Highlights","Sousa","15",8
"South of the Rio","Olivadoti","10b",151
"Souvenir de France","Hartvig","11",123
"Souvenirs d`Interlaken","Waignein","15",32
"Spanischer Tanz Nr. 2","Moszkowski","7b",244
"Spanischer Zigeunertanz","Marquina","7b",245
"Standartenweihe","Haremann","9",74
"Ständchen","Heykens","7b",247
"Starparade","Aust","9",119
"Start frei","Herborg","9",104
"Südtiroler Volksweisen","Veit","11",122
"Suite im alten Stil","Hartvig","4a",147
"Suite International","Löffler","10b",150
"Symphony of Hope","Gäble","4c",172
"Tag der Freude","König","4",160
"Tangorubin","Lange","10b",146
"Tanzen und Singen","???","11",107
"Tanzfantasie Nr.1","Lange","10b",134
"Tanzfantasie Nr.3","Lange","10b",155
"Tarantella","Ahninger","4c",168
"Televisionsmelodien","Kolditz","7a",266
"Texas Story","Haase/Altendorf","4c",167
"The Beatles","Sorbon","11",116
"The Thunderer","Sousa","9",79
"Them Basses","Huffine","3",34
"Three little pop tunes","Stanford","15",23
"Three Scenes","Walters","10b",159
"Tiroler Holzhacker Buabn","Boogener","9",79
"Trafalgar","Zehle","9",77
"Treffpunkt Montmartre","Kolditz","5",207
"Triomfator","Wichers","3",28
"Trip to Spain","Lange","5",203
"Triumphmarsch aus Aida","Verdi","9",78
"Trompetenexpress","Ullrich","15",12
"Trompetenparade","Scholz","10",131
"Trompetenscherze","Fischer","10",122
"Trompeter und Posaunisten","Lange","10",137
"Trompetereien","Löffler","10",128
